"";"V0403";"Qtd"
"1";16;6
"2";17;5
"3";18;15
"4";19;26
"5";20;30
"6";21;52
"7";22;36
"8";23;70
"9";24;75
"10";25;80
"11";26;73
"12";27;119
"13";28;133
"14";29;122
"15";30;148
"16";31;175
"17";32;185
"18";33;172
"19";34;185
"20";35;180
"21";36;210
"22";37;180
"23";38;191
"24";39;214
"25";40;215
"26";41;196
"27";42;225
"28";43;172
"29";44;198
"30";45;192
"31";46;190
"32";47;185
"33";48;186
"34";49;180
"35";50;154
"36";51;214
"37";52;179
"38";53;184
"39";54;180
"40";55;195
"41";56;151
"42";57;157
"43";58;136
"44";59;132
"45";60;132
"46";61;114
"47";62;139
"48";63;147
"49";64;98
"50";65;109
"51";66;90
"52";67;106
"53";68;79
"54";69;81
"55";70;72
"56";71;59
"57";72;51
"58";73;59
"59";74;54
"60";75;57
"61";76;41
"62";77;43
"63";78;45
"64";79;28
"65";80;28
"66";81;23
"67";82;19
"68";83;23
"69";84;18
"70";85;13
"71";86;11
"72";87;9
"73";88;9
"74";89;4
"75";90;5
"76";91;1
"77";92;5
"78";94;2
"79";95;2
"80";97;1
"81";98;2
